time,ids,centers,rotation
11-06 17:10:33.16,(32),"(-21.4,  96.3)",(3.3023553253114106)
11-06 17:10:33.27,(32),"(-21.4    ,  96.96875)",(3.3023553253114106)
11-06 17:10:33.37,(32),"(-20.0625 ,  96.96875)",(3.3067413024416608)
11-06 17:10:33.48,(32),"(-20.0625 ,  96.96875)",(3.3023553253114106)
11-06 17:10:33.60,(32),"(-19.39375,  96.96875)",(3.3023553253114106)
11-06 17:10:33.70,(32),"(-18.725  ,  96.96875)",(3.3336404901437455)
11-06 17:10:33.82,(32),"(-18.725,  96.3  )",(3.3545311653555845)
11-06 17:10:33.93,(32),"(-18.05625,  96.3    )",(3.3545311653555845)
11-06 17:10:34.04,(32),"(-17.3875,  96.3   )",(3.3285720027818573)
11-06 17:10:34.15,(32),"(-16.71875,  96.3    )",(3.3545311653555845)
11-06 17:10:34.27,(32),"(-16.71875,  96.3    )",(3.3602616448303104)
11-06 17:10:34.39,(32),"(-15.38125,  96.3    )",(3.3802020412756173)
11-06 17:10:34.50,(32),"(-15.38125,  96.3    )",(3.412539523911202)
11-06 17:10:34.61,(32),"(-14.7125,  96.3   )",(3.412539523911202)
11-06 17:10:34.72,(32),"(-14.04375,  96.3    )",(3.412539523911202)
11-06 17:10:34.82,(32),"(-13.375  ,  95.63125)",(3.405556642977577)
11-06 17:10:34.93,(32),"(-13.375  ,  95.63125)",(3.405556642977577)
11-06 17:10:35.05,(32),"(-12.70625,  95.63125)",(3.4381382341012436)
11-06 17:10:35.16,(32),"(-12.0375 ,  95.63125)",(3.4381382341012436)
11-06 17:10:35.28,(32),"(-12.0375 ,  95.63125)",(3.4381382341012436)
11-06 17:10:35.39,(32),"(-12.0375 ,  95.63125)",(3.4461036662276907)
11-06 17:10:35.50,(32),"(-11.36875,  95.63125)",(3.46334313390859)
11-06 17:10:35.61,(32),"(-11.36875,  95.63125)",(3.4381382341012436)
11-06 17:10:35.73,(32),"(-10.7    ,  95.63125)",(3.4718900928589496)
11-06 17:10:35.84,(32),"(-10.03125,  95.63125)",(3.4718900928589496)
11-06 17:10:35.95,(32),"(-10.03125,  94.9625 )",(3.46334313390859)
11-06 17:10:36.06,(32),"(-9.3625, 94.9625)",(3.488131506576422)
11-06 17:10:36.18,(32),"(-9.3625, 94.9625)",(3.4972284133299087)
11-06 17:10:36.29,(32),"(-8.69375, 94.9625 )",(3.4972284133299087)
11-06 17:10:36.41,(32),"(-8.025 , 94.9625)",(3.5220991902211316)
11-06 17:10:36.52,(32),"(-8.025 , 94.9625)",(3.4972284133299087)
11-06 17:10:36.63,(32),"(-8.025 , 94.9625)",(3.4972284133299087)
11-06 17:10:36.74,(32),"(-8.025 , 94.9625)",(3.4972284133299087)
11-06 17:10:36.86,(32),"(-7.35625, 94.9625 )",(3.5220991902211316)
11-06 17:10:36.98,(32),"(-7.35625, 95.63125)",(3.5220991902211316)
11-06 17:10:37.08,(32),"(-6.6875 , 95.63125)",(3.5220991902211316)
11-06 17:10:37.20,(32),"(-6.01875, 95.63125)",(3.55708468739714)
11-06 17:10:37.31,(32),"(-6.01875, 95.63125)",(3.55708468739714)
11-06 17:10:37.42,(32),"(-5.35   , 95.63125)",(3.55708468739714)
11-06 17:10:37.53,(32),"(-4.68125, 95.63125)",(3.55708468739714)
11-06 17:10:37.65,(32),"(-4.68125, 95.63125)",(3.55708468739714)
11-06 17:10:37.77,(32),"(-4.0125 , 95.63125)",(3.5814352094818687)
11-06 17:10:37.87,(32),"(-4.0125 , 95.63125)",(3.5930456954498182)
11-06 17:10:37.99,(32),"(-3.34375, 95.63125)",(3.5930456954498182)
11-06 17:10:38.10,(32),"(-2.675  , 95.63125)",(3.5930456954498182)
11-06 17:10:38.21,(32),"(-1.3375 , 95.63125)",(3.617287892185593)
11-06 17:10:38.32,(32),"(-0.66875, 95.63125)",(3.6409394564553983)
11-06 17:10:38.44,(32),"(-0.66875, 95.63125)",(3.6409394564553983)
11-06 17:10:38.55,(32),"(-0.66875, 95.63125)",(3.6409394564553983)
11-06 17:10:38.66,(32),"( 0.     , 95.63125)",(3.6639961031565704)
11-06 17:10:38.76,(32),"( 0.66875, 95.63125)",(3.6639961031565704)
11-06 17:10:38.87,(32),"( 0.66875, 95.63125)",(3.6639961031565704)
11-06 17:10:38.98,(32),"( 0.66875, 96.3    )",(3.6774038642358504)
11-06 17:10:39.10,(32),"( 0.66875, 96.3    )",(3.6774038642358504)
11-06 17:10:39.22,(32),"( 1.3375, 96.3   )",(3.7001919367610676)
11-06 17:10:39.33,(32),"( 1.3375, 96.3   )",(3.6774038642358504)
11-06 17:10:39.44,(32),"( 1.3375, 96.3   )",(3.6774038642358504)
11-06 17:10:39.54,(32),"( 2.00625, 96.3    )",(3.7001919367610676)
11-06 17:10:39.66,(32),"( 2.00625, 96.3    )",(3.714558837305179)
11-06 17:10:39.76,(32),"( 2.00625, 96.3    )",(3.714558837305179)
11-06 17:10:39.88,(32),"( 2.00625, 96.3    )",(3.714558837305179)
11-06 17:10:39.98,(32),"( 2.675, 96.3  )",(3.714558837305179)
11-06 17:10:40.09,(32),"( 2.675  , 95.63125)",(3.7223490491417293)
11-06 17:10:40.20,(32),"( 3.34375, 95.63125)",(3.7223490491417293)
11-06 17:10:40.31,(32),"( 3.34375, 95.63125)",(3.737002497266511)
11-06 17:10:40.41,(32),"( 3.34375, 95.63125)",(3.737002497266511)
11-06 17:10:40.53,(32),"( 4.0125 , 95.63125)",(3.737002497266511)
11-06 17:10:40.64,(32),"( 4.0125 , 95.63125)",(3.752318605988979)
11-06 17:10:40.75,(32),"( 4.0125, 94.9625)",(3.7587840983514296)
11-06 17:10:40.86,(32),"( 4.0125, 94.9625)",(3.7587840983514296)
11-06 17:10:40.97,(32),"( 4.68125, 94.9625 )",(3.7587840983514296)
11-06 17:10:41.08,(32),"( 4.68125, 94.9625 )",(3.7587840983514296)
11-06 17:10:41.18,(32),"( 4.68125, 94.9625 )",(3.7587840983514296)
11-06 17:10:41.29,(32),"( 5.35   , 95.63125)",(3.779912470487073)
11-06 17:10:41.41,(32),"( 5.35  , 94.9625)",(3.7587840983514296)
11-06 17:10:41.51,(32),"( 5.35   , 95.63125)",(3.7587840983514296)
11-06 17:10:41.62,(32),"( 5.35  , 94.9625)",(3.7587840983514296)
11-06 17:10:41.74,(32),"( 5.35  , 94.9625)",(3.774341569119658)
11-06 17:10:41.84,(32),"( 5.35  , 94.9625)",(3.737002497266511)
11-06 17:10:41.95,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.05,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.17,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.28,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.40,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.49,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.60,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.71,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.83,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:42.93,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:43.05,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
11-06 17:10:43.16,(32),"( 6.01875, 94.29375)",(3.7587840983514296)
