time,ids,centers,rotation
11-06 15:43:55.48,(32),"(44.1375, 21.4   )",(3.1679040253155044)
11-06 15:43:55.60,(32),"(44.80625, 20.73125)",(3.1686126851673384)
11-06 15:43:55.71,(32),"(44.80625, 20.0625 )",(3.1686126851673384)
11-06 15:43:55.81,(32),"(45.475  , 19.39375)",(3.1686126851673384)
11-06 15:43:55.92,(32),"(46.14375, 18.05625)",(3.1955945999975475)
11-06 15:43:56.04,(32),"(46.14375, 17.3875 )",(3.1686126851673384)
11-06 15:43:56.15,(32),"(46.8125 , 16.71875)",(3.1686126851673384)
11-06 15:43:56.26,(32),"(48.15   , 15.38125)",(3.1955945999975475)
11-06 15:43:56.38,(32),"(48.15  , 14.7125)",(3.141592653589793)
11-06 15:43:56.49,(32),"(49.4875, 13.375 )",(3.141592653589793)
11-06 15:43:56.59,(32),"(49.4875 , 12.70625)",(3.1686126851673384)
11-06 15:43:56.70,(32),"(50.15625, 12.0375 )",(3.141592653589793)
11-06 15:43:56.82,(32),"(50.15625, 12.0375 )",(3.141592653589793)
11-06 15:43:56.93,(32),"(50.15625, 10.7    )",(3.1686126851673384)
11-06 15:43:57.04,(32),"(50.825 ,  9.3625)",(3.141592653589793)
11-06 15:43:57.16,(32),"(51.49375,  8.025  )",(3.1941768766454213)
11-06 15:43:57.28,(32),"(50.825  ,  7.35625)",(3.1686126851673384)
11-06 15:43:57.39,(32),"(51.49375,  6.01875)",(3.1686126851673384)
11-06 15:43:57.50,(32),"(52.1625,  5.35  )",(3.1686126851673384)
11-06 15:43:57.61,(32),"(52.1625,  4.0125)",(3.141592653589793)
11-06 15:43:57.72,(32),"(52.1625,  2.675 )",(3.1686126851673384)
11-06 15:43:57.84,(32),"(52.83125,  2.00625)",(3.141592653589793)
11-06 15:43:57.95,(32),"(53.5    ,  0.66875)",(3.1955945999975475)
11-06 15:43:58.06,(32),"(54.16875, -0.66875)",(3.1941768766454213)
11-06 15:43:58.18,(32),"(53.5   , -1.3375)",(3.1686126851673384)
11-06 15:43:58.29,(32),"(54.16875, -2.675  )",(3.1679040253155044)
11-06 15:43:58.40,(32),"(54.16875, -3.34375)",(3.1686126851673384)
11-06 15:43:58.52,(32),"(54.8375, -5.35  )",(3.1679040253155044)
11-06 15:43:58.62,(32),"(54.8375 , -6.01875)",(3.1693634018177654)
11-06 15:43:58.74,(32),"(55.50625, -7.35625)",(3.1679040253155044)
11-06 15:43:58.84,(32),"(55.50625, -7.35625)",(3.1693634018177654)
11-06 15:43:58.95,(32),"(56.175, -8.025)",(3.1941768766454213)
11-06 15:43:59.06,(32),"(55.50625, -8.69375)",(3.1686126851673384)
11-06 15:43:59.17,(32),"( 56.175  , -10.03125)",(3.1686126851673384)
11-06 15:43:59.29,(32),"( 56.175, -10.7  )",(3.1941768766454213)
11-06 15:43:59.40,(32),"( 56.175 , -12.0375)",(3.1955945999975475)
11-06 15:43:59.49,(32),"( 56.84375, -13.375  )",(3.1686126851673384)
11-06 15:43:59.61,(32),"( 56.84375, -14.04375)",(3.1941768766454213)
11-06 15:43:59.72,(32),"( 56.84375, -15.38125)",(3.1679040253155044)
11-06 15:43:59.83,(32),"( 56.84375, -16.05   )",(3.1955945999975475)
11-06 15:43:59.95,(32),"( 56.84375, -17.3875 )",(3.1686126851673384)
11-06 15:44:00.06,(32),"( 56.84375, -18.725  )",(3.1679040253155044)
11-06 15:44:00.17,(32),"( 57.5125, -20.0625)",(3.1955945999975475)
11-06 15:44:00.28,(32),"( 57.5125 , -20.73125)",(3.1686126851673384)
11-06 15:44:00.39,(32),"( 58.18125, -22.06875)",(3.1686126851673384)
11-06 15:44:00.50,(32),"( 58.18125, -23.40625)",(3.1679040253155044)
11-06 15:44:00.60,(32),"( 58.18125, -24.075  )",(3.1686126851673384)
11-06 15:44:00.72,(32),"( 58.85   , -24.74375)",(3.1679040253155044)
11-06 15:44:00.83,(32),"( 58.85   , -26.08125)",(3.1941768766454213)
11-06 15:44:00.94,(32),"( 59.51875, -27.41875)",(3.1941768766454213)
11-06 15:44:01.06,(32),"( 59.51875, -28.75625)",(3.1955945999975475)
11-06 15:44:01.17,(32),"( 59.51875, -28.75625)",(3.1955945999975475)
11-06 15:44:01.28,(32),"( 59.51875, -29.425  )",(3.1941768766454213)
11-06 15:44:01.40,(32),"( 58.85  , -30.7625)",(3.1679040253155044)
11-06 15:44:01.50,(32),"( 58.85   , -31.43125)",(3.1686126851673384)
11-06 15:44:01.62,(32),"( 60.1875 , -32.76875)",(3.1941768766454213)
11-06 15:44:01.73,(32),"( 59.51875, -34.10625)",(3.1955945999975475)
11-06 15:44:01.83,(32),"( 59.51875, -34.775  )",(3.1679040253155044)
11-06 15:44:01.94,(32),"( 59.51875, -36.1125 )",(3.1679040253155044)
11-06 15:44:02.06,(32),"( 60.1875 , -36.78125)",(3.1941768766454213)
11-06 15:44:02.17,(32),"( 59.51875, -38.11875)",(3.1686126851673384)
11-06 15:44:02.29,(32),"( 59.51875, -39.45625)",(3.1686126851673384)
11-06 15:44:02.40,(32),"( 60.1875 , -40.79375)",(3.1679040253155044)
11-06 15:44:02.52,(32),"( 60.1875 , -42.13125)",(3.1679040253155044)
11-06 15:44:02.63,(32),"( 60.85625, -42.8    )",(3.1941768766454213)
11-06 15:44:02.74,(32),"( 60.1875, -44.1375)",(3.1686126851673384)
11-06 15:44:02.85,(32),"( 60.1875, -45.475 )",(3.1679040253155044)
11-06 15:44:02.97,(32),"( 60.1875, -46.8125)",(3.1679040253155044)
11-06 15:44:03.08,(32),"( 60.85625, -47.48125)",(3.1941768766454213)
11-06 15:44:03.20,(32),"( 60.85625, -48.81875)",(3.1941768766454213)
11-06 15:44:03.29,(32),"( 60.1875, -49.4875)",(3.1686126851673384)
11-06 15:44:03.41,(32),"( 60.85625, -49.4875 )",(3.1955945999975475)
11-06 15:44:03.52,(32),"( 60.85625, -49.4875 )",(3.1955945999975475)
11-06 15:44:03.64,(32),"( 60.85625, -49.4875 )",(3.1955945999975475)
11-06 15:44:03.75,(32),"( 60.85625, -50.15625)",(3.1955945999975475)
11-06 15:44:03.87,(32),"( 60.85625, -51.49375)",(3.1679040253155044)
11-06 15:44:03.97,(32),"( 61.525  , -52.83125)",(3.1955945999975475)
11-06 15:44:04.09,(32),"( 61.525, -53.5  )",(3.1955945999975475)
11-06 15:44:04.20,(32),"( 61.525  , -54.16875)",(3.1955945999975475)
11-06 15:44:04.32,(32),"( 61.525  , -55.50625)",(3.1941768766454213)
11-06 15:44:04.43,(32),"( 61.525  , -56.84375)",(3.2203762888907086)
11-06 15:44:04.54,(32),"( 61.525 , -57.5125)",(3.1955945999975475)
11-06 15:44:04.65,(32),"( 61.525, -58.85 )",(3.1941768766454213)
11-06 15:44:04.77,(32),"( 61.525 , -60.1875)",(3.1955945999975475)
11-06 15:44:04.88,(32),"( 61.525, -61.525)",(3.197090098432052)
11-06 15:44:04.99,(32),"( 62.19375, -62.19375)",(3.2224964088268746)
11-06 15:44:05.09,(32),"( 61.525  , -63.53125)",(3.1686126851673384)
11-06 15:44:05.20,(32),"( 62.19375, -64.2    )",(3.1941768766454213)
11-06 15:44:05.32,(32),"( 62.19375, -65.5375 )",(3.2203762888907086)
11-06 15:44:05.42,(32),"( 62.19375, -66.20625)",(3.1955945999975475)
11-06 15:44:05.53,(32),"( 62.19375, -67.54375)",(3.1941768766454213)
11-06 15:44:05.65,(32),"( 62.19375, -68.88125)",(3.1941768766454213)
11-06 15:44:05.76,(32),"( 62.19375, -70.21875)",(3.1955945999975475)
11-06 15:44:05.86,(32),"( 62.19375, -69.55   )",(3.1955945999975475)
11-06 15:44:05.97,(32),"( 62.19375, -70.8875 )",(3.1941768766454213)
11-06 15:44:06.07,(32),"( 62.19375, -71.55625)",(3.1955945999975475)
11-06 15:44:06.19,(32),"( 62.19375, -72.89375)",(3.1941768766454213)
11-06 15:44:06.30,(32),"( 62.19375, -74.23125)",(3.1955945999975475)
11-06 15:44:06.41,(32),"( 62.19375, -75.56875)",(3.1955945999975475)
11-06 15:44:06.52,(32),"( 62.19375, -76.2375 )",(3.1955945999975475)
11-06 15:44:06.64,(32),"( 62.8625, -77.575 )",(3.1955945999975475)
11-06 15:44:06.76,(32),"( 62.8625, -78.9125)",(3.1941768766454213)
11-06 15:44:06.87,(32),"( 62.8625, -80.25  )",(3.224733483515629)
11-06 15:44:06.98,(32),"( 62.8625 , -80.91875)",(3.2224964088268746)
11-06 15:44:07.09,(32),"( 62.8625 , -82.25625)",(3.1941768766454213)
11-06 15:44:07.20,(32),"( 62.19375, -82.925  )",(3.1955945999975475)
11-06 15:44:07.32,(32),"( 62.8625 , -84.93125)",(3.1955945999975475)
11-06 15:44:07.43,(32),"( 62.8625, -85.6   )",(3.1955945999975475)
11-06 15:44:07.55,(32),"( 63.53125, -86.9375 )",(3.1941768766454213)
11-06 15:44:07.66,(32),"( 62.8625 , -87.60625)",(3.224733483515629)
11-06 15:44:07.76,(32),"( 63.53125, -88.94375)",(3.1941768766454213)
