start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
723,1248,1884,2269,2026
724,1239,1907,2267,2030
725,1239,1908,2272,2012
726,1242,1909,2285,2006
727,1263,1937,2327,2030
728,1270,1931,2323,2034
729,1286,1963,2360,2056
730,1297,1975,2381,2084
731,1305,1984,2405,2117
732,1311,1996,2440,2162
733,1316,2017,2482,2199
734,1319,2039,2514,2231
735,1318,2050,2518,2245
736,1323,2076,2541,2261
737,1321,2086,2545,2271
738,1324,2095,2555,2292
739,1318,2094,2562,2314
740,1321,2098,2577,2344
741,1317,2094,2585,2364
742,1317,2092,2595,2382
743,1315,2086,2600,2390
744,1316,2081,2606,2404
746,1320,2080,2631,2437
747,1326,2094,2677,2475
748,1337,2119,2714,2500
749,1350,2141,2738,2511
750,1366,2154,2746,2508
751,1385,2161,2741,2498
752,1403,2162,2728,2482
753,1422,2161,2709,2466
754,1439,2158,2687,2448
755,1454,2155,2662,2426
756,1466,2153,2642,2419
757,1469,2139,2618,2402
758,1481,2147,2608,2393
759,1482,2140,2591,2379
760,1483,2135,2587,2371
761,1478,2124,2576,2360
762,1476,2121,2573,2355
763,1471,2111,2566,2348
764,1467,2108,2564,2345
765,1462,2102,2560,2341
766,1453,2092,2551,2333
767,1452,2094,2555,2338
769,1447,2091,2554,2337
770,1441,2087,2552,2335
771,1430,2084,2552,2344
772,1416,2077,2563,2378
773,1397,2069,2604,2442
774,1377,2063,2663,2510
775,1353,2063,2709,2560
776,1338,2065,2730,2583
777,1322,2068,2724,2572
778,1307,2072,2723,2574
779,1289,2065,2707,2551
780,1288,2077,2691,2529
781,1279,2076,2671,2502
782,1272,2078,2649,2470
783,1262,2072,2612,2427
784,1252,2066,2580,2381
785,1240,2053,2544,2330
786,1228,2042,2511,2282
787,1215,2028,2482,2246
788,1201,2013,2459,2222
789,1189,1997,2439,2198
790,1181,1982,2426,2179
792,1176,1971,2415,2165
793,1178,1964,2408,2153
794,1185,1956,2399,2139
795,1194,1950,2387,2126
796,1204,1944,2378,2120
797,1212,1941,2377,2122
798,1219,1944,2381,2130
799,1225,1946,2376,2133
800,1229,1957,2399,2156
801,1228,1963,2407,2168
802,1235,1972,2419,2184
803,1236,1978,2428,2195
804,1236,1982,2437,2208
805,1232,1980,2443,2211
806,1229,1975,2452,2229
807,1222,1960,2457,2236
808,1217,1940,2462,2243
809,1210,1914,2464,2248
810,1207,1893,2461,2253
811,1206,1875,2451,2256
812,1205,1863,2438,2259
814,1197,1844,2414,2253
815,1193,1828,2402,2261
816,1179,1795,2375,2259
817,1162,1750,2334,2257
818,1140,1698,2278,2252
819,1117,1650,2215,2246
820,1096,1608,2153,2238
821,1077,1572,2088,2218
822,1060,1551,2055,2216
823,1041,1530,2020,2200
824,1035,1513,1994,2186
825,1024,1488,1960,2166
826,1016,1465,1927,2154
827,1008,1435,1883,2140
828,1001,1413,1847,2138
829,992,1391,1820,2139
830,985,1374,1818,2143
831,975,1359,1837,2148
832,967,1348,1872,2155
833,957,1341,1910,2161
